Symbol,Date,Time,Open,High,Low,Close,Volume
AAPL.US,2019-10-18,22:00:03,234.59,237.58,234.29,236.41,24377166
APPL.US,2019-10-18,22:00:03,234.59,237.58,234.29,236.41,24377166
